fecha,hora,id_agente,tipo_servicio,monto,distrito,caja
2026-04-04,13:36,136,pago de luz,267.57,Los Olivos,5
2026-04-04,16:48,142,pago de servicio,120.38,Miraflores,5
2026-04-04,9:42,226,pago de luz,132.68,SJL,5
2026-04-04,10:11,161,pago de gas,107.02,Lima Centro,9
2026-04-04,11:38,164,pago de agua,199.99,Lima Centro,12
2026-04-04,17:44,150,pago de servicio,141.21,San Isidro,6
2026-04-04,15:31,027,pago de agua,254.36,SJL,3
2026-04-04,10:46,003,pago de agua,210.6,Surco,19
2026-04-04,17:13,200,pago de servicio,176.97,Lima Centro,16
2026-04-04,18:47,009,pago de gas,100.27,Miraflores,3
2026-04-04,13:05,132,pago de luz,248.42,SJL,13
2026-04-04,18:53,230,pago de servicio,74.02,San Isidro,18
2026-04-04,10:15,234,pago de gas,204.45,San Isidro,16
